date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:33	568447/568447	---M--	200	added ('OK')	image/png	etag:%2262a260a1-8ac7f%22	http://siliconmadeacademy.com/img/bg_oyun_gelistirme_banner.png	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/bg_oyun_gelistirme_banner.png	(from http://siliconmadeacademy.com/siliconmade-egitim-programi-oyun-gelistirme.html)
15:27:06	200749/200749	---M--	200	added ('OK')	image/jpeg	etag:%22635c2974-3102d%22	http://siliconmadeacademy.com/img/egitmen_ZaferAyan.jpeg	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/egitmen_ZaferAyan.jpg	(from http://siliconmadeacademy.com/siliconmade-egitim-programi-mobil.html)
15:27:07	15015/15015	---M--	200	added ('OK')	text/css	etag:%226329c940-3aa7%22	http://siliconmadeacademy.com/css/page.min.css?d=08312022	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/css/page.min76df.css	(from http://siliconmadeacademy.com/siliconmade-egitim-programi-siber-guvenlik.html)
15:27:08	1441/1441	---M--	404	error ('Not%20Found')	text/html	etag:%225a1-5a966815d546a%22	http://siliconmadeacademy.com/img/bg_siber-gu%c3%8c%c2%88venlik.png	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/bg_siber-gu%c3%8c%c2%88venlik.png	(from http://siliconmadeacademy.com/siliconmade-egitim-programi-siber-guvenlik.html)
15:28:17	2030127/2030127	---M--	200	added ('OK')	image/png	etag:%2262a260c1-1efa2f%22	http://siliconmadeacademy.com/img/unity_v2.png	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/unity_v2.png	(from http://siliconmadeacademy.com/diger-egitimler.html)
15:28:29	21529/21529	---M--	200	added ('OK')	text/css	etag:%2262bab4e8-5419%22	http://siliconmadeacademy.com/css/theme.min.css?d=09092022	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/css/theme.min7966.css	(from http://siliconmadeacademy.com/egitim-programi-mobil.html)
15:28:30	21529/21529	---M--	200	added ('OK')	text/css	etag:%2262bab4e8-5419%22	http://siliconmadeacademy.com/css/theme.min.css?d=020820220438	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/css/theme.min0ea5.css	(from http://siliconmadeacademy.com/egitim-programi-oyun-gelistirme.html)
15:28:30	1441/1441	---M--	404	error ('Not%20Found')	text/html	etag:%225a1-5a966815d546a%22	http://siliconmadeacademy.com/img/bg_unity_1600%c3%83%c2%97445.png	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/bg_unity_1600%c3%83%c2%97445.png	(from http://siliconmadeacademy.com/egitim-programi-oyun-gelistirme.html)
15:28:31	15015/15015	---M--	200	added ('OK')	text/css	etag:%226329c940-3aa7%22	http://siliconmadeacademy.com/css/page.min.css?d=270922	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/css/page.mind4e6.css	(from http://siliconmadeacademy.com/08-ekim-2022-burs-sinavi.html)
15:28:31	1441/1441	---M--	404	error ('Not%20Found')	text/html	etag:%225a1-5a966815d546a%22	http://siliconmadeacademy.com/img/burs-s%c3%84%c2%b1nav-duyuru-ekim2022-1600x1406.jpg	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/burs-s%c3%84%c2%b1nav-duyuru-ekim2022-1600x1406.jpg	(from http://siliconmadeacademy.com/08-ekim-2022-burs-sinavi.html)
15:28:56	143249/143249	---M--	200	added ('OK')	image/jpeg	etag:%2262a26098-22f91%22	http://siliconmadeacademy.com/img/29agustos-1024x1024.jpeg	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/29agustos-1024x1024.jpg	(from http://siliconmadeacademy.com/29-agustos-burs-sinavi-temel-yazilim-gelistirme-egitimi.html)
15:28:59	178023/178023	---M--	200	added ('OK')	image/jpeg	etag:%2262a260a9-2b767%22	http://siliconmadeacademy.com/img/burs-min.jpeg	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/burs-min.jpg	(from http://siliconmadeacademy.com/06-kasim-2021-burs-sinavi.html)
15:29:04	86820/86820	---M--	200	added ('OK')	image/jpeg	etag:%2262a260b3-15324%22	http://siliconmadeacademy.com/img/IMG_9611-1024x794.jpg	C:/Users/hp/Downloads/slcnmdac/siliconmadeacademy.com/img/IMG_9611-1024x794.jpg	(from http://siliconmadeacademy.com/8-agustos-burs-sinavi-sonuclari-aciklandi.html)
